,Gene A,Gene B,Activation/Repression,delta
188,45,50,2,0
189,103,50,1,0
190,138,50,1,0
191,24,50,1,0
192,139,60,1,0
193,22,140,1,0
194,141,140,2,0
195,56,142,1,0
196,11,83,1,0
197,13,83,1,0
198,14,83,1,0
199,104,143,1,0
200,118,143,1,0
201,130,143,1,0
202,56,143,1,0
203,144,143,1,0
204,68,121,1,0
205,72,121,1,0
206,22,121,1,0
207,101,121,2,0
208,59,121,1,0
209,80,121,1,0
210,24,121,1,0
211,29,145,1,0
212,27,145,1,0
213,30,145,1,0
214,31,145,1,0
215,32,145,1,0
216,33,145,1,0
217,35,145,1,0
218,93,145,1,0
219,37,145,1,0
220,38,145,1,0
221,39,146,1,0
222,132,146,1,0
223,11,77,1,0
224,13,77,1,0
225,14,77,1,0
226,143,147,1,0
227,148,147,2,0
228,117,147,2,0
229,99,147,1,0
230,71,147,1,0
231,149,150,1,0
232,88,150,1,0
233,89,150,2,0
234,151,129,1,0
235,152,129,1,0
236,92,129,2,0
237,153,154,1,0
238,143,24,1,0
239,148,24,2,0
240,98,24,1,0
241,117,24,1,0
242,24,24,1,0
243,71,24,1,0
244,72,114,2,0
245,22,114,2,0
246,98,114,1,0
247,79,114,1,0
248,99,114,1,0
249,24,114,1,0
250,57,15,1,0
251,128,15,1,0
252,155,15,1,0
253,156,157,2,0
254,158,157,1,0
255,92,157,1,0
256,159,160,1,0
257,153,160,1,0
258,143,99,1,0
259,148,99,1,0
260,117,99,2,0
261,71,99,2,0
262,161,59,2,0
263,162,59,1,0
264,84,59,2,0
265,34,59,1,0
266,163,59,1,0
267,123,164,1,0
268,22,164,1,0
269,152,164,1,0
270,98,164,1,0
271,99,164,1,0
272,92,164,2,0
273,109,164,1,0
274,165,101,1,0
275,129,101,2,0
276,166,101,1,0
277,56,101,2,0
278,43,27,1,0
279,167,86,1,0
280,84,32,1,0
281,59,32,1,0
282,17,168,1,0
283,46,168,1,0
284,4,168,1,0
285,13,168,1,0
286,47,168,1,0
287,48,168,1,0
288,21,168,1,0
289,49,168,1,0
290,51,168,1,0
291,53,168,1,0
292,19,168,1,0
293,54,168,1,0
294,20,168,1,0
295,139,168,2,0
296,148,98,1,0
297,117,98,1,0
298,99,98,1,0
299,71,98,2,0
300,24,98,1,0
301,169,55,1,0
302,170,52,2,0
303,171,52,1,0
304,84,38,1,0
305,59,38,1,0
306,112,172,1,0
307,98,173,1,0
308,112,173,1,0
309,24,174,1,0
310,5,21,1,0
311,6,21,2,0
312,3,21,1,0
313,9,21,1,0
314,8,21,2,0
315,10,21,1,0
316,175,51,1,0
317,49,51,1,0
318,51,51,1,0
319,176,51,1,0
320,54,51,2,0
321,11,89,1,0
322,88,89,2,0
323,13,89,1,0
324,14,89,1,0
325,17,75,1,0
326,19,75,1,0
327,13,75,1,0
328,4,75,1,0
329,20,75,1,0
330,21,75,1,0
331,56,161,2,0
332,26,161,2,0
333,24,161,2,0
334,11,177,1,0
335,13,177,1,0
336,14,177,1,0
337,176,178,1,0
338,179,178,1,0
339,22,180,1,0
340,57,107,1,0
341,129,107,2,0
342,1,107,1,0
343,34,107,2,0
344,78,181,1,0
345,14,181,1,0
346,21,181,1,0
347,22,182,1,0
348,165,183,1,0
349,162,183,1,0
350,166,183,1,0
351,134,183,1,0
352,184,102,1,0
353,44,102,1,0
354,27,185,1,0
355,29,185,1,0
356,31,185,1,0
357,32,185,1,0
358,34,185,1,0
359,35,185,1,0
360,36,185,1,0
361,78,186,1,0
362,21,186,1,0
363,14,186,1,0
364,90,158,2,0
365,98,187,1,0
366,54,187,1,0
367,52,17,1,0
368,3,17,1,0
369,120,17,1,0
370,8,17,1,0
371,64,17,1,0
372,41,17,1,0
373,188,20,1,0
374,3,20,1,0
375,6,20,2,0
376,8,20,2,0
377,20,20,1,0
378,48,20,2,0
379,159,189,1,0
380,153,189,1,0
381,160,189,1,0
382,11,74,1,0
383,13,74,1,0
384,14,74,1,0
385,190,148,1,0
386,191,148,1,0
387,192,148,1,0
388,193,148,1,0
389,162,148,1,0
390,85,148,1,0
391,194,148,1,0
392,195,148,2,0
393,196,148,1,0
394,197,148,1,0
395,72,148,1,0
396,198,148,1,0
397,97,148,1,0
398,22,148,1,0
399,199,148,1,0
400,200,148,1,0
401,186,148,1,0
402,139,148,1,0
403,201,202,1,0
404,11,149,1,0
405,126,149,1,0
406,13,149,1,0
407,14,149,1,0
408,54,47,1,0
409,203,47,2,0
410,47,47,1,0
411,17,201,2,0
412,204,201,1,0
413,46,201,2,0
414,4,201,2,0
415,13,201,2,0
416,47,201,2,0
417,21,201,2,0
418,48,201,2,0
419,49,201,2,0
420,22,201,2,0
421,51,201,2,0
422,53,201,2,0
423,19,201,2,0
424,54,201,2,0
425,205,201,1,0
426,20,201,2,0
427,98,206,1,0
428,19,206,1,0
429,60,206,1,0
430,207,206,1,0
431,65,206,1,0
432,20,206,1,0
433,61,206,1,0
434,24,206,1,0
435,58,97,1,0
436,141,97,1,0
437,208,97,1,0
438,161,144,2,0
439,129,144,2,0
440,209,144,1,0
441,210,144,2,0
442,211,144,1,0
443,212,144,2,0
444,202,175,1,0
445,122,175,1,0
446,106,175,1,0
447,213,192,1,0
448,201,192,1,0
449,163,192,2,0
450,214,192,2,0
451,165,72,1,0
452,22,72,1,0
453,23,72,1,0
454,71,72,2,0
455,150,124,1,0
456,14,124,1,0
457,6,133,2,0
458,5,133,1,0
459,7,133,1,0
460,72,210,1,0
461,22,210,1,0
462,114,210,2,0
463,85,141,1,0
464,90,156,2,0
465,157,156,1,0
466,97,156,1,0
467,17,138,1,0
468,75,138,1,0
469,46,138,1,0
470,4,138,1,0
471,13,138,1,0
472,47,138,1,0
473,21,138,1,0
474,48,138,1,0
475,49,138,1,0
476,51,138,1,0
477,53,138,1,0
478,19,138,1,0
479,54,138,1,0
480,79,138,1,0
481,20,138,1,0
482,26,138,1,0
483,82,138,1,0
484,135,120,2,0
485,96,94,1,0
486,94,94,2,0
487,151,94,1,0
488,22,94,1,0
489,129,94,1,0
490,130,94,2,0
491,78,73,1,0
492,11,73,1,0
493,4,73,1,0
494,133,73,1,0
495,215,176,1,0
496,19,176,1,0
497,20,176,1,0
498,80,176,1,0
499,24,176,1,0
500,78,197,1,0
501,11,197,1,0
502,4,197,1,0
503,133,197,1,0
504,56,8,1,0
505,5,78,1,0
506,6,78,2,0
507,7,78,1,0
508,9,78,1,0
509,78,191,1,0
510,14,191,1,0
511,21,191,1,0
512,100,216,1,0
513,98,216,1,0
514,194,216,1,0
515,98,208,1,0
516,1,208,2,0
517,194,208,1,0
518,80,208,1,0
519,139,208,2,0
520,24,208,2,0
521,78,196,1,0
522,14,196,1,0
523,21,196,1,0
524,78,190,1,0
525,14,190,1,0
526,21,190,1,0
527,90,110,2,0
528,34,110,2,0
529,56,110,2,0
530,109,110,2,0
531,19,207,1,0
532,20,207,1,0
533,66,207,1,0
534,24,207,1,0
535,103,217,1,0
536,138,217,1,0
537,24,217,1,0
538,57,163,2,0
539,151,151,1,0
540,218,151,2,0
541,183,151,1,0
542,100,198,1,0
543,165,198,1,0
544,22,198,1,0
545,3,198,1,0
546,19,198,1,0
547,162,171,1,0
548,175,46,1,0
549,206,46,1,0
550,176,46,1,0
551,179,46,1,0
552,53,46,2,0
553,46,46,1,0
554,62,46,1,0
555,48,46,1,0
556,24,46,1,0
557,138,37,1,0
558,46,37,1,0
559,4,37,1,0
560,13,37,1,0
561,80,37,1,0
562,47,37,1,0
563,21,37,1,0
564,48,37,1,0
565,49,37,1,0
566,22,37,1,0
567,51,37,1,0
568,148,37,1,0
569,53,37,1,0
570,19,37,1,0
571,54,37,1,0
572,20,37,1,0
573,37,37,2,0
574,78,70,1,0
575,14,70,1,0
576,21,70,1,0
577,215,215,1,0
578,60,215,1,0
579,65,215,1,0
580,207,215,1,0
581,24,215,1,0
582,49,19,2,0
583,6,19,2,0
584,3,19,1,0
585,19,19,1,0
586,8,19,2,0
587,10,19,1,0
588,57,105,1,0
589,98,105,1,0
590,17,219,1,0
591,19,219,1,0
592,13,219,1,0
593,4,219,1,0
594,20,219,1,0
595,21,219,1,0
596,78,199,1,0
597,21,199,1,0
598,14,199,1,0
599,17,82,1,0
600,19,82,1,0
601,13,82,1,0
602,4,82,1,0
603,20,82,1,0
604,21,82,1,0
605,78,7,2,0
606,11,7,2,0
607,7,7,1,0
608,4,7,2,0
609,220,7,1,0
610,133,7,2,0
611,97,155,2,0
612,120,155,1,0
613,132,155,1,0
614,64,155,1,0
615,135,155,1,0
616,56,155,2,0
617,41,155,1,0
618,187,153,1,0
619,221,3,1,0
620,53,3,1,0
621,100,194,1,0
622,72,194,1,0
623,22,194,1,0
624,101,194,2,0
625,137,71,1,0
626,184,71,1,0
627,148,71,1,0
628,59,71,1,0
629,144,71,1,0
630,222,71,2,0
631,223,224,2,0
632,116,224,1,0
633,92,224,2,0
634,145,224,1,0
635,6,13,1,0
636,3,13,1,0
637,5,13,2,0
638,225,13,2,0
639,126,13,2,0
640,9,13,2,0
641,8,13,2,0
642,10,13,1,0
643,192,214,1,0
644,22,214,1,0
645,52,214,2,0
646,78,200,1,0
647,21,200,1,0
648,14,200,1,0
649,17,85,1,0
650,98,85,1,0
651,46,85,1,0
652,4,85,1,0
653,13,85,1,0
654,47,85,1,0
655,80,85,1,0
656,21,85,1,0
657,48,85,1,0
658,49,85,1,0
659,51,85,1,0
660,53,85,1,0
661,19,85,1,0
662,54,85,1,0
663,20,85,1,0
664,141,85,2,0
665,135,64,2,0
666,175,226,1,0
667,204,226,1,0
668,22,226,1,0
669,84,226,1,0
670,1,226,1,0
671,176,226,1,0
672,34,226,1,0
673,61,226,1,0
674,227,93,1,0
675,97,93,1,0
676,84,93,1,0
677,59,93,1,0
678,67,93,1,0
679,69,93,1,0
680,44,93,1,0
681,80,93,1,0
682,144,93,1,0
683,98,109,1,0
684,57,96,1,0
685,123,96,1,0
686,228,228,2,0
687,41,228,1,0
688,49,66,2,0
689,19,66,1,0
690,20,66,1,0
691,139,66,1,0
692,48,66,2,0
693,42,223,1,0
694,151,223,1,0
695,1,223,1,0
696,224,223,1,0
697,119,135,1,0
698,40,135,1,0
699,146,135,1,0
700,229,135,1,0
701,98,209,1,0
702,230,209,1,0
703,72,212,1,0
704,22,212,1,0
705,231,39,1,0
706,162,39,1,0
707,22,39,1,0
708,1,39,2,0
709,63,39,1,0
710,232,39,2,0
711,228,39,1,0
712,135,39,1,0
713,24,39,1,0
714,103,103,1,0
715,162,103,1,0
716,129,103,2,0
717,223,42,2,0
718,92,42,2,0
719,185,42,1,0
720,145,42,1,0
721,28,42,1,0
722,162,162,2,0
723,120,162,1,0
724,44,35,1,0
725,206,48,1,0
726,62,48,1,0
727,46,48,2,0
728,207,48,1,0
729,112,48,1,0
730,20,48,1,0
731,65,48,1,0
732,48,48,1,0
733,24,48,1,0
734,100,22,1,0
735,132,22,1,0
736,18,22,1,0
737,130,22,1,0
738,142,22,1,0
739,72,22,1,0
740,134,22,1,0
741,205,22,1,0
742,79,22,1,0
743,81,22,1,0
744,135,22,1,0
745,233,22,2,0
746,39,229,1,0
747,64,229,1,0
748,17,211,1,0
749,204,211,2,0
750,46,211,1,0
751,4,211,1,0
752,13,211,1,0
753,47,211,1,0
754,144,211,1,0
755,21,211,1,0
756,48,211,1,0
757,49,211,1,0
758,22,211,1,0
759,51,211,1,0
760,53,211,1,0
761,19,211,1,0
762,54,211,1,0
763,20,211,1,0
764,86,44,1,0
765,137,84,1,0
766,165,84,1,0
767,166,84,1,0
768,59,84,1,0
769,16,84,2,0
770,102,56,2,0
771,52,56,1,0
772,50,56,1,0
773,234,56,1,0
774,92,56,2,0
775,26,56,1,0
776,17,205,2,0
777,46,205,2,0
778,13,205,2,0
779,4,205,2,0
780,47,205,2,0
781,21,205,2,0
782,48,205,2,0
783,49,205,2,0
784,184,205,2,0
785,51,205,2,0
786,19,205,2,0
787,54,205,2,0
788,20,205,2,0
789,109,136,1,0
790,137,235,1,0
791,22,235,1,0
792,59,235,1,0
793,139,235,2,0
794,96,25,1,0
795,98,25,1,0
796,52,25,1,0
797,1,25,1,0
798,24,25,1,0
799,172,113,1,0
800,49,49,1,0
801,206,49,1,0
802,51,49,2,0
803,19,49,1,0
804,62,49,1,0
805,112,49,1,0
806,207,49,1,0
807,65,49,1,0
808,139,49,1,0
809,24,49,1,0
810,175,169,1,0
811,98,169,1,0
812,84,169,1,0
813,59,169,1,0
814,56,169,1,0
815,144,169,1,0
816,24,169,1,0
817,236,62,1,0
818,22,62,1,0
819,206,62,1,0
820,179,62,1,0
821,207,62,1,0
822,61,62,1,0
823,24,62,1,0
824,187,62,1,0
825,68,34,1,0
826,164,34,2,0
827,129,34,2,0
828,22,34,1,0
829,84,34,1,0
830,59,34,1,0
831,205,34,2,0
832,34,34,1,0
833,80,34,1,0
834,22,193,1,0
835,19,193,1,0
836,78,237,1,0
837,14,237,1,0
838,21,237,1,0
839,209,230,2,0
840,64,230,1,0
841,192,204,1,0
842,211,204,1,0
843,238,239,1,0
844,47,239,1,0
845,17,79,1,0
846,19,79,1,0
847,4,79,1,0
848,13,79,1,0
849,141,79,2,0
850,20,79,1,0
851,21,79,1,0
852,98,240,1,0
853,112,240,1,0
854,144,108,1,0
855,49,179,1,0
856,206,179,1,0
857,176,179,1,0
858,51,179,1,0
859,179,179,1,0
860,62,179,1,0
861,46,179,1,0
862,48,179,1,0
863,100,68,1,0
864,17,68,1,0
865,46,68,1,0
866,13,68,1,0
867,4,68,1,0
868,47,68,1,0
869,48,68,1,0
870,21,68,1,0
871,49,68,1,0
872,51,68,1,0
873,53,68,1,0
874,19,68,1,0
875,54,68,1,0
876,20,68,1,0
877,184,36,1,0
878,173,54,1,0
879,51,54,1,0
880,98,54,1,0
881,172,54,1,0
882,179,54,1,0
883,54,54,1,0
884,178,54,1,0
885,112,54,1,0
886,47,54,2,0
887,84,31,1,0
888,59,31,1,0
889,86,31,1,0
890,156,90,1,0
891,129,90,2,0
892,164,90,2,0
893,22,90,1,0
894,1,90,2,0
895,232,90,1,0
896,34,90,1,0
897,22,152,1,0
898,241,152,1,0
899,175,242,1,0
900,23,242,1,0
901,22,242,1,0
902,242,242,1,0
903,24,242,2,0
904,112,111,1,0
905,84,33,1,0
906,224,33,1,0
907,59,33,1,0
908,231,231,2,0
909,132,231,1,0
910,173,53,1,0
911,3,53,2,0
912,98,53,1,0
913,172,53,1,0
914,179,53,1,0
915,53,53,1,0
916,46,53,1,0
917,178,53,1,0
918,112,53,1,0
919,44,227,1,0
920,153,238,1,0
921,187,238,1,0
922,160,238,1,0
923,135,132,2,0
924,159,243,1,0
925,111,203,1,0
926,159,203,1,0
927,243,203,1,0
928,65,203,1,0
929,47,203,1,0
930,160,203,1,0
931,98,118,1,0
932,174,118,1,0
933,129,218,1,0
934,1,218,2,0
935,135,218,1,0
936,17,81,1,0
937,19,81,1,0
938,13,81,1,0
939,4,81,1,0
940,20,81,1,0
941,21,81,1,0
942,1,241,1,0
943,152,241,1,0
944,241,241,2,0
945,56,232,1,0
946,24,236,1,0
947,152,234,1,0
948,154,159,1,0
949,153,159,1,0
950,91,1,1,0
951,1,1,1,0
952,223,1,2,0
953,92,1,2,0
954,140,233,1,0
955,141,233,2,0
956,78,9,2,0
957,9,9,1,0
958,244,9,1,0
959,14,9,2,0
960,21,9,2,0
961,22,139,1,0
962,60,139,2,0
963,8,139,2,0
964,219,139,1,0
965,80,139,1,0
966,52,57,1,0
