,Gene A,Gene B,Activation/Repression,delta
182,21,21,2,0
183,14,21,1,0
184,8,104,1,0
185,54,104,2,0
186,105,77,1,0
187,20,58,1,0
188,90,58,1,0
189,106,95,1,0
190,59,95,1,0
191,91,95,1,0
192,8,95,2,0
193,107,95,1,0
194,86,95,1,0
195,108,108,2,0
196,30,108,1,0
197,8,108,1,0
198,9,108,1,0
199,21,91,1,0
200,36,91,1,0
201,82,91,2,0
202,83,91,2,0
203,99,100,2,0
204,16,100,1,0
205,46,109,2,0
206,17,109,1,0
207,110,109,1,0
208,13,24,1,0
209,55,24,2,0
210,98,24,2,0
211,91,70,1,0
212,83,70,1,0
213,20,90,1,0
214,11,111,1,0
215,48,72,1,0
216,106,72,1,0
217,108,72,1,0
218,91,72,1,0
219,112,72,1,0
220,17,72,1,0
221,93,72,1,0
222,27,72,1,0
223,83,72,1,0
224,104,113,1,0
225,54,113,2,0
226,29,11,1,0
227,105,11,2,0
228,19,11,1,0
229,114,11,1,0
230,65,11,2,0
231,79,11,1,0
232,5,32,1,0
233,8,32,2,0
234,5,29,1,0
235,115,29,1,0
236,116,29,1,0
237,28,29,2,0
238,3,86,1,0
239,103,86,1,0
240,53,86,1,0
241,106,6,1,0
242,11,94,1,0
243,117,94,1,0
244,106,94,1,0
245,4,94,1,0
246,97,94,1,0
247,91,76,1,0
248,83,76,1,0
249,3,118,1,0
250,41,118,1,0
251,42,118,1,0
252,80,114,1,0
253,108,93,1,0
254,30,93,1,0
255,8,93,1,0
256,9,93,1,0
257,20,102,1,0
258,12,102,1,0
259,119,102,1,0
260,69,55,1,0
261,65,55,2,0
262,67,55,1,0
263,63,50,2,0
264,64,50,1,0
265,120,50,1,0
266,65,50,2,0
267,87,50,1,0
268,121,26,1,0
269,44,122,1,0
270,16,122,1,0
271,107,88,1,0
272,91,78,1,0
273,26,78,1,0
274,83,78,1,0
275,27,112,1,0
276,20,38,1,0
277,36,38,2,0
278,66,38,1,0
279,55,38,2,0
280,60,54,1,0
281,15,14,2,0
282,5,3,1,0
283,7,3,1,0
284,59,3,1,0
285,95,3,2,0
286,53,3,1,0
287,21,115,1,0
288,115,115,1,0
289,55,115,2,0
290,52,85,2,0
291,8,85,1,0
292,9,85,1,0
293,59,74,1,0
294,116,74,1,0
295,74,74,2,0
296,30,74,1,0
297,8,74,1,0
298,93,74,1,0
299,82,106,2,0
300,99,106,1,0
301,85,106,2,0
302,55,106,2,0
303,123,106,2,0
304,3,60,1,0
305,30,60,1,0
306,93,60,1,0
307,54,60,2,0
308,20,124,1,0
309,29,124,1,0
310,91,124,1,0
311,36,120,1,0
312,70,120,1,0
313,71,120,1,0
314,73,120,1,0
315,74,120,1,0
316,75,120,1,0
317,76,120,1,0
318,49,120,1,0
319,77,120,1,0
320,78,120,1,0
321,88,120,1,0
322,11,82,2,0
323,5,82,2,0
324,114,82,2,0
325,113,8,2,0
326,13,8,1,0
327,24,8,1,0
328,125,8,1,0
329,42,8,1,0
330,30,8,1,0
331,15,8,1,0
332,97,8,1,0
333,9,8,1,0
334,126,8,1,0
335,21,127,1,0
336,46,128,2,0
337,8,123,1,0
338,9,123,1,0
339,11,126,1,0
340,13,129,1,0
341,44,129,1,0
342,60,71,2,0
343,26,71,1,0
344,83,71,1,0
345,27,71,1,0
346,21,44,1,0
347,1,44,1,0
348,5,44,1,0
349,66,44,2,0
350,34,44,1,0
351,18,44,1,0
352,8,44,1,0
353,111,44,2,0
354,15,44,1,0
355,30,125,2,0
356,107,125,2,0
357,130,19,2,0
358,127,19,1,0
359,15,16,2,0
360,107,105,1,0
361,27,105,1,0
362,122,15,1,0
363,45,15,1,0
364,131,15,1,0
365,129,15,1,0
366,15,13,2,0
367,132,17,1,0
368,124,17,1,0
369,54,17,1,0
370,3,39,1,0
371,94,133,1,0
372,7,133,2,0
373,59,133,2,0
374,95,133,1,0
375,53,133,1,0
376,44,131,1,0
377,14,131,1,0
378,3,134,1,0
379,11,134,1,0
380,106,134,1,0
381,5,134,1,0
382,91,134,1,0
383,33,134,1,0
384,83,134,1,0
385,65,110,1,0
386,128,110,1,0
387,109,110,2,0
388,46,101,1,0
389,72,101,1,0
390,71,101,1,0
391,73,101,1,0
392,65,101,2,0
393,74,101,1,0
394,66,135,2,0
395,55,135,1,0
396,15,135,1,0
397,70,61,1,0
398,72,61,1,0
399,71,61,1,0
400,74,61,1,0
401,75,61,1,0
402,76,61,1,0
403,77,61,1,0
404,78,61,1,0
405,22,67,1,0
406,135,67,2,0
407,67,67,1,0
408,115,117,2,0
409,2,117,1,0
410,98,117,2,0
411,32,9,1,0
412,8,9,1,0
413,25,9,1,0
414,95,9,2,0
415,42,119,1,0
416,30,65,2,0
417,30,47,1,0
418,42,47,1,0
419,92,43,1,0
420,89,46,2,0
421,36,46,1,0
422,66,46,2,0
423,109,46,1,0
424,55,46,2,0
425,8,46,1,0
426,111,46,1,0
427,10,116,2,0
428,134,10,1,0
429,5,136,1,0
430,115,136,1,0
431,116,136,1,0
432,89,36,2,0
433,36,36,1,0
434,91,36,1,0
435,125,36,2,0
436,8,36,1,0
437,55,36,2,0
438,93,36,1,0
439,47,36,1,0
440,83,36,1,0
441,94,53,1,0
442,7,53,2,0
443,59,53,1,0
444,95,53,2,0
445,3,132,1,0
446,41,132,1,0
447,66,132,2,0
448,93,132,1,0
449,47,132,1,0
